variant,profile,streams,rep,goodput_mbps
direct,symmetric,1,1,95.63
direct,symmetric,1,2,95.68
direct,symmetric,1,3,95.68
direct,symmetric,1,4,95.63
direct,symmetric,1,5,95.63
direct,symmetric,2,1,95.63
direct,symmetric,2,2,95.63
direct,symmetric,2,3,95.63
direct,symmetric,2,4,95.63
direct,symmetric,2,5,95.68
direct,symmetric,4,1,95.63
direct,symmetric,4,2,95.58
direct,symmetric,4,3,95.63
direct,symmetric,4,4,95.63
direct,symmetric,4,5,95.58
direct,symmetric,8,1,95.63
direct,symmetric,8,2,95.68
direct,symmetric,8,3,95.68
direct,symmetric,8,4,95.63
direct,symmetric,8,5,95.74
direct,symmetric,16,1,95.73
direct,symmetric,16,2,95.84
direct,symmetric,16,3,95.84
direct,symmetric,16,4,95.68
direct,symmetric,16,5,95.79
mqvpn-single,symmetric,1,1,90.02
mqvpn-single,symmetric,1,2,89.81
mqvpn-single,symmetric,1,3,89.76
mqvpn-single,symmetric,1,4,89.65
mqvpn-single,symmetric,1,5,90.13
mqvpn-single,symmetric,2,1,90.18
mqvpn-single,symmetric,2,2,90.18
mqvpn-single,symmetric,2,3,90.18
mqvpn-single,symmetric,2,4,90.23
mqvpn-single,symmetric,2,5,89.97
mqvpn-single,symmetric,4,1,89.97
mqvpn-single,symmetric,4,2,89.76
mqvpn-single,symmetric,4,3,90.33
mqvpn-single,symmetric,4,4,90.23
mqvpn-single,symmetric,4,5,89.50
mqvpn-single,symmetric,8,1,87.98
mqvpn-single,symmetric,8,2,89.60
mqvpn-single,symmetric,8,3,89.76
mqvpn-single,symmetric,8,4,89.44
mqvpn-single,symmetric,8,5,90.44
mqvpn-single,symmetric,16,1,88.50
mqvpn-single,symmetric,16,2,88.81
mqvpn-single,symmetric,16,3,87.87
mqvpn-single,symmetric,16,4,88.81
mqvpn-single,symmetric,16,5,89.08
mqproxy-single,symmetric,1,1,74.40
mqproxy-single,symmetric,1,2,74.19
mqproxy-single,symmetric,1,3,75.29
mqproxy-single,symmetric,1,4,75.08
mqproxy-single,symmetric,1,5,75.55
mqproxy-single,symmetric,2,1,79.22
mqproxy-single,symmetric,2,2,79.80
mqproxy-single,symmetric,2,3,79.80
mqproxy-single,symmetric,2,4,79.74
mqproxy-single,symmetric,2,5,79.54
mqproxy-single,symmetric,4,1,83.51
mqproxy-single,symmetric,4,2,83.37
mqproxy-single,symmetric,4,3,83.26
mqproxy-single,symmetric,4,4,83.39
mqproxy-single,symmetric,4,5,83.42
mqproxy-single,symmetric,8,1,86.30
mqproxy-single,symmetric,8,2,86.42
mqproxy-single,symmetric,8,3,86.30
mqproxy-single,symmetric,8,4,86.29
mqproxy-single,symmetric,8,5,86.15
mqproxy-single,symmetric,16,1,88.22
mqproxy-single,symmetric,16,2,88.22
mqproxy-single,symmetric,16,3,88.20
mqproxy-single,symmetric,16,4,88.24
mqproxy-single,symmetric,16,5,88.08
mqvpn-minrtt,symmetric,1,1,140.93
mqvpn-minrtt,symmetric,1,2,150.31
mqvpn-minrtt,symmetric,1,3,151.31
mqvpn-minrtt,symmetric,1,4,141.13
mqvpn-minrtt,symmetric,1,5,139.10
mqvpn-minrtt,symmetric,2,1,174.27
mqvpn-minrtt,symmetric,2,2,173.96
mqvpn-minrtt,symmetric,2,3,175.95
mqvpn-minrtt,symmetric,2,4,175.00
mqvpn-minrtt,symmetric,2,5,174.85
mqvpn-minrtt,symmetric,4,1,173.12
mqvpn-minrtt,symmetric,4,2,163.58
mqvpn-minrtt,symmetric,4,3,176.89
mqvpn-minrtt,symmetric,4,4,173.80
mqvpn-minrtt,symmetric,4,5,174.48
mqvpn-minrtt,symmetric,8,1,176.11
mqvpn-minrtt,symmetric,8,2,168.29
mqvpn-minrtt,symmetric,8,3,171.81
mqvpn-minrtt,symmetric,8,4,134.01
mqvpn-minrtt,symmetric,8,5,175.11
mqvpn-minrtt,symmetric,16,1,174.06
mqvpn-minrtt,symmetric,16,2,173.59
mqvpn-minrtt,symmetric,16,3,173.70
mqvpn-minrtt,symmetric,16,4,172.81
mqvpn-minrtt,symmetric,16,5,155.35
mqvpn-wlb,symmetric,1,1,96.42
mqvpn-wlb,symmetric,1,2,95.89
mqvpn-wlb,symmetric,1,3,96.47
mqvpn-wlb,symmetric,1,4,96.15
mqvpn-wlb,symmetric,1,5,96.26
mqvpn-wlb,symmetric,2,1,178.78
mqvpn-wlb,symmetric,2,2,177.11
mqvpn-wlb,symmetric,2,3,178.15
mqvpn-wlb,symmetric,2,4,178.31
mqvpn-wlb,symmetric,2,5,178.78
mqvpn-wlb,symmetric,4,1,178.26
mqvpn-wlb,symmetric,4,2,178.31
mqvpn-wlb,symmetric,4,3,176.73
mqvpn-wlb,symmetric,4,4,178.21
mqvpn-wlb,symmetric,4,5,178.47
mqvpn-wlb,symmetric,8,1,178.46
mqvpn-wlb,symmetric,8,2,177.47
mqvpn-wlb,symmetric,8,3,177.52
mqvpn-wlb,symmetric,8,4,176.74
mqvpn-wlb,symmetric,8,5,177.68
mqvpn-wlb,symmetric,16,1,177.37
mqvpn-wlb,symmetric,16,2,177.27
mqvpn-wlb,symmetric,16,3,177.21
mqvpn-wlb,symmetric,16,4,177.00
mqvpn-wlb,symmetric,16,5,177.90
mqproxy-tcp,symmetric,1,1,173.96
mqproxy-tcp,symmetric,1,2,174.06
mqproxy-tcp,symmetric,1,3,174.01
mqproxy-tcp,symmetric,1,4,174.17
mqproxy-tcp,symmetric,1,5,174.95
mqproxy-tcp,symmetric,2,1,177.42
mqproxy-tcp,symmetric,2,2,177.69
mqproxy-tcp,symmetric,2,3,178.36
mqproxy-tcp,symmetric,2,4,178.00
mqproxy-tcp,symmetric,2,5,177.79
mqproxy-tcp,symmetric,4,1,180.38
mqproxy-tcp,symmetric,4,2,180.50
mqproxy-tcp,symmetric,4,3,180.33
mqproxy-tcp,symmetric,4,4,180.53
mqproxy-tcp,symmetric,4,5,179.94
mqproxy-tcp,symmetric,8,1,183.08
mqproxy-tcp,symmetric,8,2,183.08
mqproxy-tcp,symmetric,8,3,182.60
mqproxy-tcp,symmetric,8,4,182.31
mqproxy-tcp,symmetric,8,5,182.92
mqproxy-tcp,symmetric,16,1,184.70
mqproxy-tcp,symmetric,16,2,185.23
mqproxy-tcp,symmetric,16,3,185.32
mqproxy-tcp,symmetric,16,4,185.23
mqproxy-tcp,symmetric,16,5,185.13
direct,asymmetric,1,1,286.90
direct,asymmetric,1,2,286.89
direct,asymmetric,1,3,286.94
direct,asymmetric,1,4,286.89
direct,asymmetric,1,5,286.89
direct,asymmetric,2,1,286.93
direct,asymmetric,2,2,286.89
direct,asymmetric,2,3,286.88
direct,asymmetric,2,4,287.00
direct,asymmetric,2,5,286.89
direct,asymmetric,4,1,286.89
direct,asymmetric,4,2,286.94
direct,asymmetric,4,3,286.93
direct,asymmetric,4,4,286.88
direct,asymmetric,4,5,286.94
direct,asymmetric,8,1,286.84
direct,asymmetric,8,2,286.93
direct,asymmetric,8,3,287.00
direct,asymmetric,8,4,286.89
direct,asymmetric,8,5,286.89
direct,asymmetric,16,1,286.89
direct,asymmetric,16,2,286.84
direct,asymmetric,16,3,286.69
direct,asymmetric,16,4,286.78
direct,asymmetric,16,5,286.84
mqvpn-single,asymmetric,1,1,269.48
mqvpn-single,asymmetric,1,2,269.22
mqvpn-single,asymmetric,1,3,269.54
mqvpn-single,asymmetric,1,4,269.54
mqvpn-single,asymmetric,1,5,269.43
mqvpn-single,asymmetric,2,1,270.06
mqvpn-single,asymmetric,2,2,270.06
mqvpn-single,asymmetric,2,3,270.12
mqvpn-single,asymmetric,2,4,270.06
mqvpn-single,asymmetric,2,5,270.11
mqvpn-single,asymmetric,4,1,270.48
mqvpn-single,asymmetric,4,2,270.11
mqvpn-single,asymmetric,4,3,269.80
mqvpn-single,asymmetric,4,4,269.33
mqvpn-single,asymmetric,4,5,270.80
mqvpn-single,asymmetric,8,1,270.32
mqvpn-single,asymmetric,8,2,271.21
mqvpn-single,asymmetric,8,3,271.69
mqvpn-single,asymmetric,8,4,271.80
mqvpn-single,asymmetric,8,5,270.05
mqvpn-single,asymmetric,16,1,270.02
mqvpn-single,asymmetric,16,2,271.58
mqvpn-single,asymmetric,16,3,271.74
mqvpn-single,asymmetric,16,4,271.63
mqvpn-single,asymmetric,16,5,270.80
mqproxy-single,asymmetric,1,1,265.71
mqproxy-single,asymmetric,1,2,264.92
mqproxy-single,asymmetric,1,3,266.29
mqproxy-single,asymmetric,1,4,265.50
mqproxy-single,asymmetric,1,5,266.34
mqproxy-single,asymmetric,2,1,272.68
mqproxy-single,asymmetric,2,2,272.79
mqproxy-single,asymmetric,2,3,272.11
mqproxy-single,asymmetric,2,4,272.73
mqproxy-single,asymmetric,2,5,272.49
mqproxy-single,asymmetric,4,1,275.30
mqproxy-single,asymmetric,4,2,275.58
mqproxy-single,asymmetric,4,3,275.62
mqproxy-single,asymmetric,4,4,275.41
mqproxy-single,asymmetric,4,5,275.52
mqproxy-single,asymmetric,8,1,278.09
mqproxy-single,asymmetric,8,2,277.97
mqproxy-single,asymmetric,8,3,278.03
mqproxy-single,asymmetric,8,4,278.07
mqproxy-single,asymmetric,8,5,277.92
mqproxy-single,asymmetric,16,1,279.08
mqproxy-single,asymmetric,16,2,279.24
mqproxy-single,asymmetric,16,3,279.19
mqproxy-single,asymmetric,16,4,279.17
mqproxy-single,asymmetric,16,5,279.24
mqvpn-minrtt,asymmetric,1,1,250.76
mqvpn-minrtt,asymmetric,1,2,258.26
mqvpn-minrtt,asymmetric,1,3,253.49
mqvpn-minrtt,asymmetric,1,4,265.91
mqvpn-minrtt,asymmetric,1,5,265.98
mqvpn-minrtt,asymmetric,2,1,267.96
mqvpn-minrtt,asymmetric,2,2,267.96
mqvpn-minrtt,asymmetric,2,3,266.92
mqvpn-minrtt,asymmetric,2,4,265.34
mqvpn-minrtt,asymmetric,2,5,265.45
mqvpn-minrtt,asymmetric,4,1,268.23
mqvpn-minrtt,asymmetric,4,2,268.85
mqvpn-minrtt,asymmetric,4,3,267.18
mqvpn-minrtt,asymmetric,4,4,266.71
mqvpn-minrtt,asymmetric,4,5,266.29
mqvpn-minrtt,asymmetric,8,1,268.43
mqvpn-minrtt,asymmetric,8,2,269.76
mqvpn-minrtt,asymmetric,8,3,275.25
mqvpn-minrtt,asymmetric,8,4,271.85
mqvpn-minrtt,asymmetric,8,5,267.95
mqvpn-minrtt,asymmetric,16,1,275.51
mqvpn-minrtt,asymmetric,16,2,274.67
mqvpn-minrtt,asymmetric,16,3,272.95
mqvpn-minrtt,asymmetric,16,4,270.38
mqvpn-minrtt,asymmetric,16,5,300.42
mqvpn-wlb,asymmetric,1,1,251.03
mqvpn-wlb,asymmetric,1,2,257.32
mqvpn-wlb,asymmetric,1,3,266.64
mqvpn-wlb,asymmetric,1,4,266.33
mqvpn-wlb,asymmetric,1,5,267.28
mqvpn-wlb,asymmetric,2,1,298.69
mqvpn-wlb,asymmetric,2,2,303.93
mqvpn-wlb,asymmetric,2,3,317.04
mqvpn-wlb,asymmetric,2,4,325.27
mqvpn-wlb,asymmetric,2,5,258.32
mqvpn-wlb,asymmetric,4,1,295.65
mqvpn-wlb,asymmetric,4,2,309.13
mqvpn-wlb,asymmetric,4,3,320.70
mqvpn-wlb,asymmetric,4,4,306.18
mqvpn-wlb,asymmetric,4,5,310.17
mqvpn-wlb,asymmetric,8,1,313.11
mqvpn-wlb,asymmetric,8,2,313.26
mqvpn-wlb,asymmetric,8,3,313.16
mqvpn-wlb,asymmetric,8,4,314.15
mqvpn-wlb,asymmetric,8,5,312.84
mqvpn-wlb,asymmetric,16,1,327.78
mqvpn-wlb,asymmetric,16,2,328.78
mqvpn-wlb,asymmetric,16,3,326.36
mqvpn-wlb,asymmetric,16,4,329.98
mqvpn-wlb,asymmetric,16,5,326.31
mqproxy-tcp,asymmetric,1,1,335.02
mqproxy-tcp,asymmetric,1,2,325.63
mqproxy-tcp,asymmetric,1,3,330.14
mqproxy-tcp,asymmetric,1,4,329.94
mqproxy-tcp,asymmetric,1,5,329.76
mqproxy-tcp,asymmetric,2,1,339.42
mqproxy-tcp,asymmetric,2,2,348.17
mqproxy-tcp,asymmetric,2,3,348.33
mqproxy-tcp,asymmetric,2,4,346.45
mqproxy-tcp,asymmetric,2,5,342.78
mqproxy-tcp,asymmetric,4,1,345.09
mqproxy-tcp,asymmetric,4,2,349.54
mqproxy-tcp,asymmetric,4,3,349.75
mqproxy-tcp,asymmetric,4,4,346.97
mqproxy-tcp,asymmetric,4,5,350.64
mqproxy-tcp,asymmetric,8,1,347.50
mqproxy-tcp,asymmetric,8,2,348.60
mqproxy-tcp,asymmetric,8,3,351.21
mqproxy-tcp,asymmetric,8,4,349.60
mqproxy-tcp,asymmetric,8,5,348.60
mqproxy-tcp,asymmetric,16,1,348.86
mqproxy-tcp,asymmetric,16,2,350.07
mqproxy-tcp,asymmetric,16,3,350.81
mqproxy-tcp,asymmetric,16,4,351.06
mqproxy-tcp,asymmetric,16,5,348.97
